disease_id	phenotype_id	qualifier	evidence	onset	frequency	sex	modifier	aspect	publication	description
			PCS		6/34			P		
			PCS	HP:0003623	2/4			P		
			PCS	HP:0003623	10/30			P		
			PCS		19/39			P		
			PCS		25/37			P		
			PCS		4/36			P		
			PCS		12/36			P		
			PCS		4/34			P		
			PCS		24/35			P		
			PCS		16/35			P		
			PCS		12/35			P		
			PCS		25/36			P		
			PCS		18/37			P		
			PCS		30/34			P		
			PCS		23/38			P		
			PCS		0/32			P		
			PCS		7/35			P		
			PCS		5/30			P		
			PCS		5/7		HP:0012828	P		
			IEA	HP:0003577	3/7			P		
			PCS	HP:0003577	1/16			P		
			PCS	HP:0003593	8/12			P		
			PCS	HP:0003593	6/11			P		
			PCS	HP:0003593	3/3			P		
			PCS	HP:0003593	7/11			P		
			PCS		17/17			C		
			PCS	HP:0003623	13/13		HP:0003676	P		
			PCS	HP:0003577	27/83			P		
			PCS		2/30			P		
			PCS		29/30			P		
			PCS		22/30			P		
			PCS	HP:0003577	10/83			P		
			PCS		12/94			P		
			PCS		12/69			P		
			PCS		11/31			P		
			PCS	HP:0003577	42/83			P		
			PCS		12/30			P		
			PCS		7/69			P		
			PCS		4/30			P		
			PCS		20/20			C		
			PCS	HP:0003577	HP:0040283			P		
			PCS		1/1		HP:0031796	P		
			TAS		2/4			P		
			TAS		4/4			C		
			PCS		14/15			C		
			PCS				HP:0030651	P		
			PCS		20/20		HP:0012828	P		
			TAS		3/15		HP:0012825	P		
			PCS	HP:0003621	10/10			P		
			IEA		5/5			P		
			PCS	HP:0011462	10/10			P		
			TAS	HP:0011462	10/10			P		
			PCS	HP:0011462	1/4			P		
			PCS		29/29			P		
			PCS		29/29			C		
			PCS		2/38			P		
			PCS		8/9			C		
			PCS		38/38			P		
			PCS		31/38			P		
			PCS		22/43			P		
			PCS		31/39			P		
			PCS		5/17			C		
			PCS		7/18			P		
			PCS		24/30			P		
			PCS		9/10			C		
			PCS		1/30			P		
			PCS		32/36			P		
			PCS		1/29			P		
			PCS		4/14			C		
			PCS		9/35			P		
			PCS		4/25			P		
			PCS		22/32			P		
			PCS		13/40			P		
			PCS		6/14			C		
			PCS		5/45			P		
			PCS		95/97			P		
			PCS		40/69			P		
			PCS		5/35			P		
			PCS		40/64			P		
			PCS		10/25			P		
			PCS		7/158			P		
			PCS		41/158			P		
			PCS		9/158			P		
			PCS		15/158			P		
			PCS		21/158			P		
			PCS		3/158			P		
			PCS		131/183			P		
			PCS		6/158			P		
			PCS		2/158			P		
			PCS		28/158			P		
			PCS	HP:0003581	16/158			P		
			PCS		114/183			P		
			PCS		43/183			P		
			PCS		35/158			P		
			PCS		157/183			P		
			PCS		132/183			P		
			PCS		4/27			P		
			PCS		4/22			C		
			PCS		14/28			P		
			PCS		16/21			P		
			PCS		2/22			C		
			PCS		5/28			P		
			PCS		0/28			P		
			PCS		15/25			C		
			PCS		6/28			P		
			PCS		21/28			P		
			PCS		2/5		HP:0012832	P		
			PCS		2/2			I		
			PCS	HP:0003593	6/6			P		
			IEA		2/3			C		
			IEA		1/3			P		
			IEA		2/3			P		
			PCS		1/21			C		
			PCS		6/21			C		
			IEA		10/10			P		
			PCS		15/18			P		
			PCS		4/21			C		
			PCS		12/21			P		
			PCS		10/21			C		
			IEA		7/10			C		
			PCS	HP:0030674	1/1			P		
			PCS	HP:0003623	1/2			P		
			PCS		10/12			C		
			PCS		34/34			C		
			PCS		23/24			P		
			PCS		2/40			C		
			PCS		10/41			P		
			PCS		25/40			C		
			PCS		3/41			P		
			PCS		1/40			C		
			PCS		36/40			P		
			PCS		17/41			P		
			PCS		36/41			P		
			PCS		21/40			P		
			PCS		4/41			P		
			PCS		39/41			P		
			PCS		16/31			P		
			PCS		33/33			P		
			PCS		35/41			P		
			PCS		7/41			P		
			PCS		11/40			C		
			PCS		5/40			P		
			PCS		9/36			P		
			PCS		7/13			C		
			PCS		2/2		HP:0012828	P		
			PCS		2/2		HP:0025303	P		
			PCS				HP:0012828	P		
			PCS		14/42			P		
			PCS		75/89			P		
			PCS		2/51			P		
			PCS		30/51			P		
			PCS		4/51			P		
			PCS		9/51			P		
			IEA		27/51			P		
			PCS		1/51			P		
			PCS	HP:0011462	6/6			P		
			PCS		6/10			C		
			PCS		77/77			C		
			PCS		8/77			P		
			PCS		39/77			P		
			PCS		2/77			P		
			PCS		56/77			P		
			PCS	HP:0003577	1/77			P		
			PCS		1/77			P		
			IEA	HP:0003577	25/77			P		
			PCS		58/77			P		
			PCS		57/77			P		
			PCS		77/77			P		
			PCS		13/77			P		
			IEA		24/77			P		
			PCS		25/77			P		
			PCS	HP:0003577	42/77			P		
			PCS		0/16			P		
			PCS		5/8		HP:0012825	P		
			PCS		1/19			P		
			IEA		2/6			P		
			PCS	HP:0003593	1/5			P		
			PCS		6/15			C		
			PCS		7/15			C		
			PCS		27/44			C		
			PCS		13/43			C		
			PCS		6/22			P		
			PCS		15/21			P		
			PCS		1/19			C		
			PCS	HP:0011462	1/19			P		
			PCS		3/41			C		
			PCS		44/44			P		
			PCS		23/41			P		
			IEA	HP:0003577	9/9			P		
			TAS		20/20			I		
			TAS		1/8			P		
			TAS		1/3			P		
			IEA		3/20			P		
			IEA		12/20			P		
			PCS				HP:0025211	P		
			PCS	HP:0003621	7/10			P		
			PCS				HP:0025206	P		
			PCS	HP:0003577	1/1		HP:0031796	P		
			TAS		2/3			P		
			PCS	HP:0011463			HP:0012825	P		
			PCS	HP:0003621			HP:0030650	P		
			IEA		0/3			P		
			PCS	HP:0003577	7/7			P		
			PCS	HP:0003593	6/7			P		
			TAS				HP:0012825	C		
			PCS	HP:0003593	2/4			P		
			PCS		21/23			P		
			PCS		8/18			C		
			TAS	HP:0003577	3/3			P		
			PCS	HP:0003577	21/22			P		
			PCS		9/10		HP:0012825	P		
			PCS		8/8		HP:0012828;HP:0012828	P		
			PCS		3/4	MALE	HP:0012833	P		
			IEA	HP:0003577	1/1			P		
			PCS	HP:0003577	1/1		HP:0012825	P		
			PCS		48/131			P		
			PCS		8/133			P		
			PCS		17/130			P		
			PCS		10/128			P		
			PCS		43/130			P		
			PCS		42/116			P		
			PCS		51/133			P		
			PCS		30/118			P		
			PCS		65/120			P		
			PCS		7/132			P		
			PCS		20/124			P		
			PCS		41/132			P		
			PCS		53/119			P		
			PCS		5/12			C		
			PCS		1/12			C		
			PCS	HP:0011461	2/12			P		
			PCS		1/11		HP:0012825	P		
			TAS		1/7			P		
			TAS		4/7			P		
			TAS		6/6			P		
			TAS		7/7			P		
			PCS		2/12		HP:0012825	P		
			PCS		6/6		HP:0012825	P		
			PCS	HP:0011462	1/3			P		
			PCS	HP:0003581	1/3			P		
			PCS	HP:0003623	1/4			P		
			PCS	HP:0011461	3/4			P		
			PCS	HP:0011463	19/19			P		
			PCS		94/109			P		
			PCS		32/121			P		
			PCS		11/22			P		
			PCS		90/119			P		
			PCS	HP:0003577	48/105			P		
			PCS		42/90			P		
			PCS		86/110			P		
			PCS		30/102			P		
			PCS		104/124			P		
			PCS		29/102			P		
			PCS		38/45			P		
			PCS		25/79			P		
			PCS		26/94			P		
			PCS	HP:0003621	2/6			P		
			PCS		3/10		HP:0012825	P		
			TAS		10/10			P		
			TAS		3/10			P		
			PCS		1/24			P		
			PCS		13/18			P		
			PCS		18/24			P		
			PCS		20/23			P		
			PCS	HP:0011462	8/24			P		
			IEA	HP:0003593				P		
			PCS		1/4		HP:0012825	P		
			PCS	HP:0030674	1/2			P		
			TAS	HP:0003577	1/2			P		
			PCS		37/37			P		
			PCS		26/35			P		
			PCS		18/35			P		
			PCS	HP:0003623	35/35			P		
			PCS		20/37			P		
			PCS		10/35			P		
			IEA		2/8			C		
			PCS	HP:0003623	1/3			P		
			TAS	HP:0003577			HP:0012825	P		
			PCS		24/25			P		
			PCS		14/31			P		
			PCS		0/35			P		
			PCS		27/29			P		
			PCS		12/28			P		
			PCS		24/32			P		
			PCS		16/24			P		
			PCS		27/33			P		
			PCS		25/28			P		
			PCS		34/34			P		
			PCS		27/49			P		
			IEA		6/9			P		
			PCS		28/49			P		
			PCS		8/44			P		
			IEA		8/11			C		
			TAS	HP:0003596	1/3			P		
			PCS		17/31			P		
			PCS		16/65			P		
			PCS		8/33			P		
			PCS		9/32			P		
			PCS		1/32			P		
			PCS		3/31			P		
			PCS	HP:0011463	27/31			P		
			PCS	HP:0030674	2/8			P		
			PCS		6/42			P		
			PCS		4/42			P		
			IEA		41/42			P		
			PCS		13/42			P		
			PCS		21/42			P		
			PCS		31/42			P		
			PCS		37/42			P		
			PCS	HP:0011461	38/42			P		
			PCS		8/42			P		
			PCS		1/42			P		
			PCS		2/42			P		
			PCS		36/42			P		
			PCS		11/42			P		
			PCS		9/42			P		
			PCS		38/42			P		
			PCS		19/42			P		
			PCS		11/52			P		
			PCS	HP:0011461	14/38			P		
			PCS		41/42			P		
			PCS		46/91			P		
			PCS		39/118			P		
			PCS		16/110		HP:0033185	P		
			PCS		2/91			P		
			PCS		2/13		HP:0033185	P		
			PCS		3/91			P		
			PCS		25/104			P		
			IEA		12/57			P		
			PCS	HP:0011463	6/6			P		
			PCS		8/16			C		
			PCS		5/13			C		
			PCS		9/23			C		
			PCS		0/29			P		
			TAS		29/29			P		
			PCS		25/41			C		
			PCS		16/42			P		
			PCS		10/41			C		
			PCS		6/41			C		
			TAS		26/40			P		
			PCS		39/42			P		
			PCS		1/6	FEMALE		P		
			PCS		18/21			P		
			PCS		6/23			C		
			PCS		16/23			C		
			PCS		1/23			C		
			PCS		20/26			P		
			IEA		3/7			P		
			PCS	HP:0011461	5/7			P		
			PCS		5/5		HP:0025303	P		
			PCS	HP:0003623	3/4			P		
			PCS		1/43			P		
			PCS		16/45			P		
			PCS		15/44			P		
			PCS		12/44			P		
			PCS		3/43			P		
			PCS		12/43			P		
			PCS		5/43			P		
			PCS		11/45			P		
			PCS		13/45		HP:0012825	P		
			PCS		4/43			P		
			PCS		13/45			P		
			PCS		1/1		HP:0012833	P		
			PCS	HP:0011463	2/5			P		
			PCS	HP:0003621	4/4			P		
			PCS		6/7		HP:0025293	P		
			TAS		HP:0040281			P		
			PCS	HP:0003584	2/2			P		
			PCS	HP:0011461	2/8			P		
			TAS	HP:0011463				P		
			PCS		29/70			P		
			PCS		7/70			P		
			PCS		9/70			P		
			PCS		4/70			P		
			PCS		13/70			P		
			PCS		10/70			P		
			PCS		2/70			P		
			PCS		39/90			P		
			PCS		4/23			P		
			PCS		47/63			P		
			PCS		25/58			P		
			PCS		76/99			P		
			PCS		27/59			P		
			PCS		17/70			P		
			PCS		3/27			P		
			PCS		99/105			P		
			PCS		29/35		HP:0031796	P		
			PCS		6/70			P		
			PCS		31/61			P		
			PCS		68/72			P		
			PCS		5/70			P		
			PCS		65/93			P		
			PCS		22/70			P		
			PCS		17/85			P		
			PCS	HP:0003623	37/57			P		
			PCS		58/64			P		
			PCS		1/4	MALE		P		
			PCS	HP:0011463	2/8			P		
			PCS		4/4	MALE		P		
			PCS		1/3		HP:0003676	P		
			PCS		3/15			C		
			PCS	HP:0003581	1/2			P		
			IEA		9/9			P		
			PCS		14/20			P		
			PCS	HP:0003577	13/20			P		
			PCS	HP:0003577	16/20			P		
			PCS		5/29			P		
			PCS		26/29			P		
			PCS		21/29			P		
			PCS		2/14			C		
			PCS		12/14			C		
			TAS		1/5			P		
			PCS	HP:0011461	1/3			P		
			PCS		5/5		HP:0012828	P		
			PCS	HP:0034197	3/3			P		
			PCS	HP:0003577	4/6			P		
			PCS		0/25			P		
			PCS		25/25			C		
			PCS		25/25			P		
			PCS	HP:0011462	2/3			P		
			PCS	HP:0011463	1/3			P		
			PCS		30/30			P		
			TAS		30/30			P		
			PCS		11/17			C		
			PCS		0/17			P		
			PCS		19/23			C		
			PCS		3/13			C		
			PCS	HP:0011462	3/4			P		
			PCS	HP:0011463	4/4			P		
			PCS	HP:0003593	4/4			P		
			PCS		9/18			C		
			PCS	HP:0011461	1/7			P		
			PCS	HP:0003623	5/7			P		
			PCS		105/972	FEMALE		P		
			PCS		6/35			P		
			PCS		33/321			P		
			PCS		283/331			P		
			PCS	HP:0011462	6/13			P		
			PCS	HP:0011462	5/10			P		
			PCS		5/5		HP:0025215	P		
			TAS				HP:0012832	P		
			PCS		17/28			P		
			PCS		6/9			C		
			PCS	HP:0003596	9/9			P		
			PCS	HP:0003584	2/9			P		
			PCS	HP:0003577	5/5			P		
			PCS	HP:0003577	2/10			P		
			PCS	HP:0003621	11/12			P		
			PCS	HP:0003577	2/12			P		
			PCS		11/21			P		
			PCS	HP:0003577	11/19			P		
			PCS	HP:0011462	134/699	MALE		P		
			PCS	HP:0011462	21/754	FEMALE		P		
			PCS		332/699	MALE		P		
			PCS		246/754	FEMALE		P		
			PCS		284/699	MALE		P		
			PCS		180/754	FEMALE		P		
			PCS	HP:0003596	60/699	MALE		P		
			PCS		46/754	FEMALE		P		
			PCS	HP:0025708	3/3			P		
			TAS				HP:0031796	P		
			PCS	HP:0003577	9/9			P		
			PCS	HP:0003596	3/9			P		
			PCS	HP:0003577	12/16			P		
			PCS	HP:0003577	5/16			P		
			PCS	HP:0003577	2/16			P		
			PCS		13/16			P		
			PCS	HP:0003577	4/16			P		
			PCS		9/15			C		
			PCS	HP:0003621	15/15			P		
			PCS	HP:0011463	15/15			P		
			PCS		29/35			P		
			PCS		18/33			P		
			PCS		10/29			P		
			PCS		34/37			P		
			PCS		10/31			P		
			PCS		3/35			P		
			PCS		7/34			P		
			PCS		8/35			P		
			PCS		23/32			P		
			PCS		6/38			P		
			PCS		3/3		HP:0025303	P		
			PCS		2/26			P		
			TAS		50%			P		
			TAS		7%			P		
			PCS		1/26			P		
			PCS		6/60			P		
			TAS		40%			C		
			PCS		1/34			P		
			PCS		8/34			P		
			PCS		0/27			P		
			PCS		25/26			P		
			TAS		62%			P		
			PCS		67/67			P		
			PCS		4/26			P		
			PCS		78/82			P		
			PCS		21/26			P		
			PCS		1/5		HP:0012828	P		
			IEA		3/17			C		
			PCS		2/17			C		
			PCS		12/17			C		
			IEA		4/7			P		
			PCS		6/26			P		
			PCS		24/27			P		
			PCS		31/32			P		
			PCS		1/28			P		
			PCS		30/50			C		
			PCS		13/50			P		
			PCS		82/100			P		
			PCS		26/50			P		
			PCS		42/60			P		
			PCS		40/60			P		
			PCS		53/60			P		
			PCS		41/50			P		
			PCS		31/60			P		
			PCS		26/40			P		
			PCS		33/50			P		
			PCS		50/50			P		
			PCS		74/110			P		
			PCS		44/60			P		
			PCS		5/27			P		
			PCS		22/27			C		
			PCS		11/27			P		
			PCS		10/27			P		
			PCS		5/27			C		
			PCS		27/27		HP:0012828	P		
			PCS		23/27			P		
			PCS	HP:0030674				H		
			IEA	HP:0030674				P		
			TAS				HP:0012828	I		
			PCS		4/4		HP:0012828	P		
			PCS		1/3	FEMALE		P		
			PCS	HP:0003577	2/4			P		
			IEA		1/4			P		
			PCS	HP:0030674	2/4			P		
			PCS	HP:0003593	3/7			P		
			PCS	HP:0003593	5/7			P		
			PCS	HP:0003621	9/10	MALE		P		
			PCS		0/5	MALE		P		
			PCS		9/10	MALE		P		
			PCS		3/3	FEMALE		P		
			PCS		12/19			C		
			PCS		7/19			C		
			PCS		9/26			P		
			IEA		14%			P		
			PCS		7/7		HP:0003676	P		
			TAS		26%			P		
			PCS	HP:0011463	5/13			P		
			PCS	HP:0003623	9/15			P		
			PCS	HP:0003577	1/8	MALE		P		
			PCS	HP:0003584	1/2			P		
			PCS		2/20			C		
			PCS		10/20			C		
			IEA		2/10			P		
			PCS	HP:0003621	3/3			P		
			PCS		3/30			P		
			PCS		0/30			P		
			PCS		3/32			P		
			PCS		18/30			P		
			PCS		2/29			P		
			PCS		22/29			P		
			PCS		28/30			P		
			PCS		12/29			P		
			PCS		13/25			P		
			PCS		4/12			C		
			PCS		16/23			P		
			PCS		18/26			P		
			IEA		1/5			C		
			PCS		5/26			P		
			PCS		16/28			P		
			PCS		7/26			P		
			PCS		7/28			P		
			PCS		1/5		HP:0033185	P		
			PCS	HP:0011463	1/5			P		
			PCS		0/39			P		
			PCS	HP:0011463	39/39			P		
			IEA				HP:0012828	P		
			PCS	HP:0003581	3/3			P		
			PCS		12/37			P		
			PCS		3/3		HP:0031375	P		
			PCS		1/2		HP:0012828	P		
			PCS		8/8		HP:0012828	P		
			PCS	HP:0003623	1/7			P		
			PCS		18/24			C		
			PCS		5/24			C		
			PCS		1/24			C		
			PCS		4/4		HP:0003676	P		
			PCS		18/23			P		
			PCS		4/18			C		
			PCS		7/18			C		
			IEA		2/18			C		
			PCS	HP:0003584	9/19			P		
			PCS		5/18			C		
			PCS		11/12			C		
			PCS		8/12			C		
			PCS		12/38	FEMALE		P		
			PCS		3/38	FEMALE		P		
			PCS		6/38	FEMALE		P		
			PCS		29/38	FEMALE		P		
			PCS		13/37	FEMALE		P		
			PCS		38/38	FEMALE		P		
			IEA		5/5	MALE		P		
			PCS		17/38			P		
			PCS		4/38	FEMALE		P		
			PCS		5/38	FEMALE		P		
			PCS		17/38	FEMALE		P		
			PCS		3/5	MALE		P		
			PCS		1/2		HP:0012825	P		
			PCS		6/9		HP:0025377;HP:0025377	P		
			PCS	HP:0011463	13/41			P		
			PCS		50%			P		
			PCS	HP:0003593	41/41			P		
			PCS		2/28			C		
			PCS		3/28			C		
			PCS		6/28			C		
			PCS		11/16			C		
			PCS		12/19			P		
			PCS	HP:0003577	7/7		HP:0012828	P		
			PCS	HP:0003581	4/4			P		
			PCS		6/12			C		
			PCS		14/44			P		
			PCS		14/43			P		
			PCS		9/39			P		
			PCS		33/43			P		
			PCS		22/38			P		
			PCS		11/24			P		
			PCS		5/37			P		
			PCS		11/30			P		
			PCS		33/46			P		
			PCS		29/40			P		
			PCS		3/26			P		
			PCS		7/33			P		
			PCS		14/18			C		
			TAS		2/9			P		
			PCS	HP:0003584	2/5			P		
			PCS	HP:0003596	3/3			P		
			PCS	HP:0011463	16/16			P		
			TAS		16/16			P		
			PCS		1/12		HP:0012828	P		
			PCS		104/104			P		
			PCS		81/93			P		
			PCS		39/104			P		
			PCS		20/20		HP:0011010	P		
			PCS		46/60			P		
			PCS		6/67			P		
			PCS		21/60			P		
			PCS		2/60			P		
			PCS		67/67			C		
			PCS		0/67			P		
			IEA		3/4			P		
			PCS		14/20			C		
			TAS		3/9			P		
			PCS		32/53			P		
			PCS		41/60			P		
			PCS		44/59			C		
			PCS		54/60			P		
			PCS		11/52			C		
			PCS		9/59			P		
			PCS		1/52			C		
			PCS		3/52			C		
			PCS		181/181			P		
			PCS	HP:0011461				P		
			TAS				HP:0025303	P		
			PCS		1/8		HP:0012825	P		
			PCS	HP:0003593	2/11			P		
			PCS		15/29			C		
			PCS		13/29			C		
			PCS		10%			P		
			PCS		48/104			P		
			PCS		31/104			P		
			PCS		37/104			P		
			PCS		5%			P		
			PCS	HP:0003577	8/9			P		
			PCS		5/5	FEMALE		P		
			PCS	HP:0011461	4/4			P		
			PCS		6/12		HP:0025153;HP:0025153	P		
			IEA		3/6			P		
			IEA		95%			P		
			PCS	HP:0030674	1/4			P		
			TAS		HP:0040283	MALE		P		
			TAS		HP:0040283	FEMALE		P		
			PCS	HP:0011463	5/19			P		
			IEA	HP:0003584				P		
			PCS	HP:0003593	7/7			P		
			PCS		20/56			P		
			PCS		6/56			P		
			PCS		18/56			P		
			PCS		8/56			P		
			PCS		31/56			P		
			PCS		25/56			P		
			PCS		9/56		HP:0011010	P		
			PCS		39/61			P		
			PCS		19/30			P		
			PCS		22/26			P		
			PCS		21/25			P		
			PCS		11/15			C		
			PCS		17/27			P		
			PCS		16/25			P		
			PCS		25/30			P		
			PCS		18/25			P		
			PCS		56/119			P		
			PCS		26/30			P		
			PCS		22/28			P		
			PCS		19/31			P		
			PCS		7/29			P		
			PCS		31/31			C		
			PCS	HP:0003593	2/10			P		
			PCS	HP:0003623	1/10			P		
			IEA		12%			P		
			TAS		12%			P		
			PCS		5/5		HP:0012825	P		
			PCS	HP:0011463	5/21			P		
			PCS		16/21			C		
			PCS		4/7		HP:0012826	P		
			PCS		0/36			P		
			PCS		51/51			C		
			PCS		22/24			P		
			PCS	HP:0003577	15/15			P		
			PCS		36/36			P		
			PCS	HP:0003577	4/5			P		
			PCS	HP:0003577	2/5			P		
			PCS	HP:0011462	3/6			P		
			PCS	HP:0003621	7/7			P		
			PCS		26/38			P		
			PCS		3/28			P		
			PCS	HP:0003593	7/8			P		
			IEA	HP:0011461	2/2			P		
			PCS		7/11		HP:0012825	P		
			PCS	HP:0011461	4/11			P		
			PCS	HP:0003621	5/13			P		
			PCS		22/106			P		
			PCS		8/29			P		
			PCS	HP:0011463	1/13			P		
			PCS	HP:0011463	3/13			P		
			PCS		8/68			P		
			PCS		8/28			P		
			PCS		39/67			C		
			PCS		22/68			P		
			PCS		9/27			C		
			PCS		68/68			P		
			PCS		49/68			P		
			PCS		35/72			P		
			PCS	HP:0003621	7/13			P		
			PCS		38/106			P		
			PCS		67/93			P		
			PCS		14/47			P		
			PCS		14/24			P		
			PCS		17/107			P		
			PCS		18/43			C		
			PCS		121/136			P		
			PCS	HP:0003623	10/13			P		
			PCS		13/101			P		
			PCS		13/23			P		
			PCS		10/54			C		
			PCS		9/54			P		
			PCS		14/54			C		
			PCS		3/23		HP:0012825	P		
			PCS		26/54			P		
			PCS		15/54			P		
			PCS		31/54			P		
			PCS		10/23			P		
			PCS		40/54			P		
			PCS		21/54			P		
			PCS		42/54			P		
			PCS		11/54			C		
			PCS		19/54			C		
			PCS		24/54		HP:0012825	P		
			PCS		50/54			P		
			PCS	HP:0011461	3/3			P		
			PCS		3/18			C		
			PCS		10/22			P		
			PCS		6/18			C		
			PCS	HP:0003623	14/17			P		
			PCS	HP:0003577	3/17			P		
			PCS		9/107			P		
			PCS	HP:0003593	41/56			P		
			PCS		43/107			P		
			PCS		5/107			P		
			PCS		10/107			P		
			PCS		68/135			P		
			PCS		92/181			P		
			PCS		19/28			P		
			PCS		96/137			P		
			PCS		86/138			P		
			PCS	HP:0003577	5/107			P		
			PCS		34/107			P		
			PCS	HP:0003593	35/56			P		
			PCS		37/107			P		
			PCS		15/29			P		
			PCS		13/181			P		
			PCS		77/136			P		
			PCS		13/107			P		
			PCS	HP:0003577	70/181			P		
			PCS		13/32			P		
			PCS	HP:0003577	10/56			P		
			PCS		65/107			P		
			PCS		27/32	MALE		P		
			PCS		0/34			P		
			PCS	HP:0003623	11/11			P		
			PCS		8/12		HP:0011010	P		
			PCS	HP:0003623	5/12			P		
			PCS	HP:0003623	14/14			P		
			PCS		53/220	FEMALE		P		
			PCS		32.3%			P		
			PCS		76.3%			P		
			PCS		13/220	FEMALE		C		
			PCS		98/220	FEMALE		P		
			PCS		66%	FEMALE		P		
			PCS		30/220	FEMALE		P		
			PCS		24.3%			P		
			PCS		56.6%			P		
			PCS		18/220	FEMALE		P		
			PCS		76.3%	FEMALE		P		
			PCS		85/220	FEMALE		P		
			PCS		78.3%			P		
			PCS		91/220	FEMALE		P		
			PCS		2/4	MALE		P		
			PCS	HP:0011461	1/12			P		
			PCS		2/8	FEMALE		P		
			PCS		1/8	FEMALE		P		
			PCS		3/4	MALE		P		
			PCS		1/1		HP:0025206	P		
			PCS		11/11		HP:0025206;HP:0025206	P		
			PCS	HP:0003584	1/26			P		
			IEA		1/1		HP:0025206	P		
			PCS		6/30			P		
			PCS		26/29			C		
			PCS		25/29			P		
			PCS		13/29			P		
			PCS		23/30			P		
			PCS		3/29			C		
			PCS		19/29			P		
			PCS		20/29			P		
			IEA		HP:0040280			P		
			PCS	HP:0003623	3/7			P		
			PCS		6/6		HP:0012837	P		
			PCS		2/2			H		
			IEA		0/2			P		
			PCS		28/48			P		
			PCS		25/48			P		
			IEA		28/48			P		
			PCS		36/48			P		
			PCS		13/54			P		
			PCS		3/54			P		
			PCS		5/54			P		
			PCS		10/54			P		
			PCS		67/189			P		
			PCS		2/470			P		
			PCS		90%			P		
			PCS		13%			P		
			PCS		37/41			P		
			PCS		6%			P		
			PCS		1%			P		
			PCS		1/2		HP:0012833	P		
			PCS	HP:0003593	5/9			P		
			PCS	HP:0030674	3/9			P		
			PCS	HP:0003593	2/9			P		
			PCS	HP:0030674	2/9			P		
			PCS	HP:0003577	2/9			P		
			PCS	HP:0003577	8/13			P		
			PCS		20/31			P		
			PCS		22/35			P		
			PCS		28/36			P		
			PCS		34/41			P		
			PCS		1/9	FEMALE		P		
			IEA		7/9	FEMALE		P		
			PCS		2/9	FEMALE		P		
			PCS	HP:0003621	5/11			P		
			PCS	HP:0011463	12/12			P		
			IEA		6/7			C		
			PCS		21/21			C		
			PCS	HP:0003623	21/21			P		
			PCS		21/21		HP:0012837	P		
			PCS		7/21			C		
			PCS		7/21			P		
			PCS		15/17			C		
			PCS		1/33			C		
			PCS		31/33			P		
			PCS		32/33			P		
			PCS		32/33			C		
			PCS	HP:0003593	HP:0040282			P		
			PCS	HP:0011463	1/4			P		
			PCS		20/46			P		
			PCS		1/6		HP:0012825	P		
			TAS		50%			I		
			PCS	HP:0003593	12/19			P		
			PCS		8/19			P		
			PCS	HP:0003593	18/19			P		
			IEA		1/7			C		
			PCS		15/15			C		
			TAS		HP:0040283			C		
			PCS		13/22			P		
			PCS		2/3	FEMALE		P		
			PCS	HP:0003581	1/23			P		
			PCS	HP:0003581	10/23			P		
			PCS		14/19			C		
			IEA		3/9			P		
			TAS		9/9			P		
			TAS					H		
			PCS		8/13			C		
			PCS		10/32			P		
			PCS		28/32			P		
			PCS		18/31			P		
			PCS		4/32			P		
			PCS		29/32			P		
			PCS		6/32			P		
			PCS		30/32			P		
			PCS	HP:0003577	6/8			P		
			PCS		7/32			P		
			PCS		9/9		HP:0012832	P		
			PCS		0/3	FEMALE		P		
			PCS		0/26			P		
			IEA	HP:0011462	21/21			P		
			PCS	HP:0003584	1/11			P		
			PCS		22/23			P		
			PCS				HP:0025212	P		
			PCS	HP:0003577	15/18			P		
			IEA		1/5			P		
			PCS	HP:0025709	2/2			P		
			IEA		1/17			C		
			PCS	HP:0011461	11/17			P		
			IEA		12/12			P		
			PCS	HP:0003593	2/12			P		
			PCS	HP:0003593	1/6			P		
			PCS		2/2	FEMALE		P		
			IEA					H		
			IEA		0/4			P		
			PCS		22/24			C		
			PCS		0/24			P		
			PCS	HP:0003621	8/10			P		
			PCS	HP:0003623	10/10			P		
			PCS		6/9		HP:0012825;HP:0012825	P		
			PCS	HP:0003593	3/5			P		
			TAS	HP:0003577	HP:0040280			P		
			PCS	HP:0003577	11/11			P		
			PCS	HP:0003621	11/11			P		
			PCS	HP:0003593	3/4			P		
			PCS	HP:0003577	0/2			P		
			PCS	HP:0003577	1/6			P		
			PCS	HP:0003577	2/6			P		
			PCS		4/40			P		
			PCS		10/23			C		
			PCS		13/23			C		
			PCS	HP:0003577	2/13			P		
			PCS		2/2		HP:0012832	P		
			TAS		HP:0040282			C		
			PCS		10/14			C		
			PCS		4/15			C		
			TAS		30%			P		
			PCS		39/39			P		
			PCS		23/28			P		
			PCS		18/47			P		
			PCS		43/43			P		
			TAS		57%			P		
			PCS		41/47			P		
			TAS		4/18			P		
			PCS		7/37			P		
			PCS		2/2		HP:0031375	P		
			PCS		10/24			C		
			PCS		27/27		HP:0012829	P		
			PCS		19/25			P		
			PCS		13/27			P		
			TAS				HP:0012840	P		
			PCS	HP:0003577	1/5			P		
			PCS		2/4		HP:0012825	P		
			PCS		30/35			P		
			PCS		45/45			C		
			PCS	HP:0003623	1/12			P		
			PCS	HP:0003577	9/9		HP:0012828	P		
			PCS		15/25			P		
			PCS		11/47			P		
			PCS	HP:0011461	1/15			P		
			PCS	HP:0003621	1/5			P		
			PCS		4/11		HP:0031796	P		
			PCS	HP:0003577	1/11			P		
